"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","11.52","2026-05-31 23:14:30","","3730","3691","39","3","3","3","3","true","0","0","0"
"test02","ok","8.98","2026-05-31 23:14:39","","5324","5271","53","4","4","4","4","true","0","0","0"
"test03","ok","9","2026-05-31 23:14:48","","4962","4904","58","4","4","4","4","true","0","0","0"
"test04","ok","5.77","2026-05-31 23:14:54","","5169","5111","58","4","4","4","4","true","0","0","0"
"test05","ok","7.2","2026-05-31 23:15:01","","5799","5704","95","4","4","4","4","true","0","0","0"
"test06","ok","8.18","2026-05-31 23:15:10","","7509","7425","84","5","5","5","5","true","0","0","0"
"test07","ok","12.38","2026-05-31 23:15:22","","11308","11183","125","6","6","6","6","true","0","0","0"
"test08","ok","10.81","2026-05-31 23:15:33","","13703","13562","141","7","7","7","7","true","0","0","0"
"test09","ok","12.09","2026-05-31 23:15:45","","14976","14797","179","8","8","8","8","true","0","0","0"
"test10","ok","13.52","2026-05-31 23:15:59","","17493","17297","196","9","9","9","9","true","0","0","0"
"test11","ok","16.37","2026-05-31 23:16:25","","19698","19472","226","10","10","10","10","true","0","0","0"
"test12","ok","31.96","2026-05-31 23:16:57","","30611","30347","264","11","11","11","11","true","0","0","0"
"test13","ok","17.84","2026-05-31 23:17:15","","25086","24819","267","12","12","12","12","true","0","0","0"
"test14","ok","24.29","2026-05-31 23:17:39","","50110","49809","301","13","13","13","13","true","0","0","0"
"test15","ok","22.31","2026-05-31 23:18:02","","36741","36441","300","14","14","14","14","true","0","0","0"
"test16","ok","26.16","2026-05-31 23:18:28","","32736","32396","340","15","15","15","15","true","0","0","0"
"test17","ok","30.87","2026-05-31 23:18:59","","43394","42298","1096","16","16","16","16","true","0","0","0"
"test18","ok","28.07","2026-05-31 23:19:27","","66914","66529","385","17","17","17","17","true","0","0","0"
"test19","ok","36.33","2026-05-31 23:20:03","","61212","59578","1634","18","18","18","18","true","0","0","0"
"test20","ok","32.55","2026-05-31 23:20:36","","59845","59418","427","19","19","19","19","true","0","0","0"
"test21","ok","7.43","2026-05-31 23:20:43","","7834","7755","79","5","5","5","5","true","0","0","0"
"test22","ok","11.46","2026-05-31 23:20:55","","11292","11201","91","6","6","6","6","true","0","0","0"
"test23","ok","11.24","2026-05-31 23:21:06","","14058","13954","104","7","7","7","7","true","0","0","0"
"test24","ok","39.1","2026-05-31 23:21:45","","17996","17869","127","8","8","8","8","true","0","0","0"
"test25","ok","14.01","2026-05-31 23:21:59","","19775","19614","161","9","9","9","9","true","0","0","0"
"test26","ok","16.05","2026-05-31 23:22:15","","24784","24615","169","10","10","10","10","true","0","0","0"
"test27","ok","23.37","2026-05-31 23:22:39","","27374","27192","182","11","11","11","11","true","0","0","0"
"test28","ok","31.52","2026-05-31 23:23:10","","24942","24785","157","10","10","10","10","true","0","0","0"
"test29","ok","18.39","2026-05-31 23:23:29","","28468","28298","170","11","11","11","11","true","0","0","0"
"test30","ok","15.85","2026-05-31 23:23:44","","27608","27433","175","11","11","11","11","true","0","0","0"
"test31","ok","30.74","2026-05-31 23:24:15","","71700","71316","384","20","20","20","20","true","0","0","0"
"test32","ok","34.98","2026-05-31 23:24:50","","73093","72642","451","20","20","20","20","true","0","0","0"
"test33","ok","63.54","2026-05-31 23:37:47","","58703","58321","382","20","20","20","20","true","0","0","0"
"test34","ok","61.71","2026-05-31 23:29:16","","53325","52937","388","20","20","20","20","true","0","0","0"
"test35","ok","65.86","2026-05-31 23:38:53","","55286","54938","348","20","20","20","20","true","0","0","0"
"test36","ok","36.06","2026-05-31 23:39:29","","57160","56725","435","20","20","20","20","true","0","0","0"
"test37","ok","63.19","2026-05-31 23:40:32","","54804","54405","399","20","20","20","20","true","0","0","0"
"test38","ok","28.29","2026-05-31 23:41:01","","55909","55565","344","20","20","20","20","true","0","0","0"
"test39","ok","186.76","2026-05-31 23:44:07","","67994","67618","376","20","20","20","20","true","0","0","0"
"test40","ok","40.28","2026-05-31 23:44:48","","57158","56818","340","20","20","20","20","true","0","0","0"
"test41","ok","8.95","2026-05-31 23:44:57","","10312","10183","129","7","7","7","7","true","0","0","0"
"test42","ok","9.68","2026-05-31 23:45:06","","10169","10012","157","7","7","7","7","true","0","0","0"
"test43","ok","10.38","2026-05-31 23:45:17","","10954","10804","150","7","7","7","7","true","0","0","0"
"test44","ok","9.54","2026-05-31 23:45:26","","10550","10451","99","7","7","7","7","true","0","0","0"
"test45","ok","8.9","2026-05-31 23:45:35","","11650","11537","113","7","7","7","7","true","0","0","0"
"test46","ok","9.86","2026-05-31 23:45:45","","11792","11679","113","7","7","7","7","true","0","0","0"
"test47","ok","9.19","2026-05-31 23:45:54","","10491","10379","112","7","7","7","7","true","0","0","0"
"test48","ok","11.51","2026-05-31 23:46:06","","11896","11762","134","8","8","8","8","true","0","0","0"
"test49","ok","11.16","2026-05-31 23:46:17","","11719","11617","102","7","7","7","7","true","0","0","0"
"test50","ok","11.21","2026-05-31 23:46:28","","10071","9955","116","7","7","7","7","true","0","0","0"
"test51","ok","9.79","2026-05-31 23:46:38","","9159","9029","130","7","7","7","7","true","0","0","0"
"test52","ok","9.86","2026-05-31 23:46:48","","9069","8967","102","7","7","7","7","true","0","0","0"
"test53","ok","9.53","2026-05-31 23:46:57","","11016","10890","126","7","7","7","7","true","0","0","0"
"test54","ok","11.29","2026-05-31 23:47:09","","12050","11906","144","7","7","7","7","true","0","0","0"
"test55","ok","8.97","2026-05-31 23:47:18","","12128","12016","112","7","7","7","7","true","0","0","0"
"test56","ok","8.49","2026-05-31 23:47:26","","8979","8875","104","6","6","6","6","true","0","0","0"
"test57","ok","10.41","2026-05-31 23:47:37","","8295","8190","105","6","6","6","6","true","0","0","0"
"test58","ok","7.67","2026-05-31 23:47:44","","9983","9877","106","6","6","6","6","true","0","0","0"
"test59","ok","10.5","2026-05-31 23:47:55","","11470","11350","120","7","7","7","7","true","0","0","0"
"test60","ok","10.23","2026-05-31 23:48:05","","10366","10247","119","7","7","7","7","true","0","0","0"
"test61","ok","9.18","2026-05-31 23:48:14","","10449","10334","115","7","7","7","7","true","0","0","0"
"test62","ok","11.06","2026-05-31 23:48:25","","12071","11953","118","7","7","7","7","true","0","0","0"
"test63","ok","8.61","2026-05-31 23:48:34","","8948","8859","89","6","6","6","6","true","0","0","0"
"test64","ok","9.48","2026-05-31 23:48:43","","9323","9170","153","6","6","6","6","true","0","0","0"
"test65","ok","8.35","2026-05-31 23:48:52","","8389","8227","162","6","6","6","6","true","0","0","0"
"test66","ok","7.91","2026-05-31 23:49:00","","7987","7880","107","6","6","6","6","true","0","0","0"
"test67","ok","11.51","2026-05-31 23:49:11","","12800","12496","304","6","6","6","6","true","0","0","0"
"test68","ok","9.46","2026-05-31 23:49:21","","8186","8041","145","6","6","6","6","true","0","0","0"
"test69","ok","8.65","2026-05-31 23:49:29","","7639","7490","149","6","6","6","6","true","0","0","0"
"test70","ok","8.93","2026-05-31 23:49:38","","9630","9490","140","6","6","6","6","true","0","0","0"
"test71","ok","8.62","2026-05-31 23:49:47","","8039","7933","106","6","6","6","6","true","0","0","0"
"test72","ok","7.94","2026-05-31 23:49:55","","8440","8326","114","6","6","6","6","true","0","0","0"
"test73","ok","8.91","2026-05-31 23:50:04","","11429","11307","122","7","7","7","7","true","0","0","0"
"test74","ok","9.28","2026-05-31 23:50:13","","9445","9334","111","7","7","7","7","true","0","0","0"
"test75","ok","9.81","2026-05-31 23:50:23","","11777","11660","117","7","7","7","7","true","0","0","0"
"test76","ok","10.35","2026-05-31 23:50:33","","13090","12989","101","7","7","7","7","true","0","0","0"
"test77","ok","10.88","2026-05-31 23:50:44","","10617","10509","108","7","7","7","7","true","0","0","0"
"test78","ok","10.88","2026-05-31 23:50:55","","14026","13886","140","8","8","8","8","true","0","0","0"
"test79","ok","10.83","2026-05-31 23:51:06","","9741","9502","239","7","7","7","7","true","0","0","0"
"test80","ok","10.22","2026-05-31 23:51:16","","9936","9818","118","7","7","7","7","true","0","0","0"
"test81","ok","7.44","2026-05-31 23:51:24","","8260","8154","106","6","6","6","6","true","0","0","0"
"test82","ok","10.7","2026-05-31 23:51:34","","8470","8356","114","6","6","6","6","true","0","0","0"
"test83","ok","8.61","2026-05-31 23:51:43","","11489","11367","122","7","7","7","7","true","0","0","0"
"test84","ok","9.02","2026-05-31 23:51:52","","9240","9125","115","7","7","7","7","true","0","0","0"
"test85","ok","10.61","2026-05-31 23:52:03","","11725","11608","117","7","7","7","7","true","0","0","0"
"test86","ok","10.92","2026-05-31 23:52:14","","13089","12988","101","7","7","7","7","true","0","0","0"
"test87","ok","9.88","2026-05-31 23:52:23","","10789","10677","112","7","7","7","7","true","0","0","0"
"test88","ok","11.8","2026-05-31 23:52:35","","14067","13927","140","8","8","8","8","true","0","0","0"
"test89","ok","12.06","2026-05-31 23:52:47","","9656","9417","239","7","7","7","7","true","0","0","0"
"test90","ok","10.36","2026-05-31 23:52:58","","9725","9607","118","7","7","7","7","true","0","0","0"
"test91","ok","8.18","2026-05-31 23:53:06","","8179","8073","106","6","6","6","6","true","0","0","0"
"test92","ok","8.17","2026-05-31 23:53:14","","8467","8353","114","6","6","6","6","true","0","0","0"
"test93","ok","10.86","2026-05-31 23:53:25","","11392","11270","122","7","7","7","7","true","0","0","0"
"test94","ok","9.5","2026-05-31 23:53:34","","9399","9284","115","7","7","7","7","true","0","0","0"
"test95","ok","10.64","2026-05-31 23:53:45","","11812","11695","117","7","7","7","7","true","0","0","0"
"test96","ok","9.98","2026-05-31 23:53:55","","13054","12953","101","7","7","7","7","true","0","0","0"
"test97","ok","9.12","2026-05-31 23:54:04","","10622","10510","112","7","7","7","7","true","0","0","0"
"test98","ok","11.93","2026-05-31 23:54:16","","14063","13927","136","8","8","8","8","true","0","0","0"
"test99","ok","10.92","2026-05-31 23:54:27","","9675","9449","226","7","7","7","7","true","0","0","0"
"test100","ok","10.23","2026-05-31 23:16:09","","9940","9818","122","7","7","7","7","true","0","0","0"
