"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","5.75","2026-05-31 23:42:28","","3730","3691","39","3","3","3","3","true","0","0","0"
"test02","ok","7.54","2026-05-31 23:42:36","","5323","5270","53","4","4","4","4","true","0","0","0"
"test03","ok","5.67","2026-05-31 23:42:42","","4966","4904","62","4","4","4","4","true","0","0","0"
"test04","ok","6.25","2026-05-31 23:42:48","","5169","5111","58","4","4","4","4","true","0","0","0"
"test05","ok","6.73","2026-05-31 23:42:55","","5795","5704","91","4","4","4","4","true","0","0","0"
"test06","ok","6.4","2026-05-31 23:43:01","","7508","7424","84","5","5","5","5","true","0","0","0"
"test07","ok","8.86","2026-05-31 23:43:10","","11694","11579","115","6","6","6","6","true","0","0","0"
"test08","ok","10.67","2026-05-31 23:43:21","","13704","13563","141","7","7","7","7","true","0","0","0"
"test09","ok","12.25","2026-05-31 23:43:33","","14970","14797","173","8","8","8","8","true","0","0","0"
"test10","ok","13.25","2026-05-31 23:43:46","","17736","17446","290","9","9","9","9","true","0","0","0"
"test11","ok","13.9","2026-05-31 23:44:11","","19699","19473","226","10","10","10","10","true","0","0","0"
"test12","ok","30.93","2026-05-31 23:44:42","","30619","30350","269","11","11","11","11","true","0","0","0"
"test13","ok","17.74","2026-05-31 23:45:00","","25087","24820","267","12","12","12","12","true","0","0","0"
"test14","ok","26.13","2026-05-31 23:45:26","","43350","42375","975","13","13","13","13","true","0","0","0"
"test15","ok","22.47","2026-05-31 23:45:48","","36833","36524","309","14","14","14","14","true","0","0","0"
"test16","ok","22.47","2026-05-31 23:46:11","","32746","32397","349","15","15","15","15","true","0","0","0"
"test17","ok","60.25","2026-05-31 23:47:11","","46728","42295","4433","16","16","16","16","true","0","0","0"
"test18","ok","26.63","2026-05-31 23:47:38","","67031","66637","394","17","17","17","17","true","0","0","0"
"test19","ok","27.9","2026-05-31 23:48:06","","60127","59722","405","18","18","18","18","true","0","0","0"
"test20","ok","32.62","2026-05-31 23:48:38","","60260","59833","427","19","19","19","19","true","0","0","0"
"test21","ok","8.09","2026-05-31 23:48:46","","7835","7756","79","5","5","5","5","true","0","0","0"
"test22","ok","10.55","2026-05-31 23:48:57","","11296","11205","91","6","6","6","6","true","0","0","0"
"test23","ok","11.85","2026-05-31 23:49:09","","14055","13951","104","7","7","7","7","true","0","0","0"
"test24","ok","33.56","2026-05-31 23:49:42","","17997","17870","127","8","8","8","8","true","0","0","0"
"test25","ok","14.96","2026-05-31 23:49:57","","19774","19613","161","9","9","9","9","true","0","0","0"
"test26","ok","16.72","2026-05-31 23:50:14","","24801","24627","174","10","10","10","10","true","0","0","0"
"test27","ok","25.64","2026-05-31 23:50:40","","27358","27181","177","11","11","11","11","true","0","0","0"
"test28","ok","31.25","2026-05-31 23:51:11","","24957","24795","162","10","10","10","10","true","0","0","0"
"test29","ok","19.25","2026-05-31 23:51:30","","28486","28311","175","11","11","11","11","true","0","0","0"
"test30","ok","16.52","2026-05-31 23:51:47","","27608","27433","175","11","11","11","11","true","0","0","0"
"test31","ok","31.57","2026-05-31 23:52:18","","73244","72860","384","20","20","20","20","true","0","0","0"
"test32","ok","36.08","2026-05-31 23:52:54","","76957","76510","447","20","20","20","20","true","0","0","0"
"test33","ok","49.38","2026-05-31 23:53:44","","60029","59648","381","20","20","20","20","true","0","0","0"
"test34","ok","48.04","2026-05-31 23:54:32","","55924","55542","382","20","20","20","20","true","0","0","0"
"test35","ok","47.99","2026-05-31 23:55:20","","55286","54937","349","20","20","20","20","true","0","0","0"
"test36","ok","33.49","2026-05-31 23:55:53","","57156","56721","435","20","20","20","20","true","0","0","0"
"test37","ok","51.9","2026-05-31 23:56:45","","62157","61752","405","20","20","20","20","true","0","0","0"
"test38","ok","29.37","2026-05-31 23:57:15","","56071","55736","335","20","20","20","20","true","0","0","0"
"test39","ok","112.03","2026-05-31 23:59:07","","67988","67616","372","20","20","20","20","true","0","0","0"
"test40","ok","38.6","2026-05-31 23:59:45","","57162","56822","340","20","20","20","20","true","0","0","0"
"test41","ok","10.47","2026-05-31 23:59:56","","10311","10182","129","7","7","7","7","true","0","0","0"
"test42","ok","9.34","2026-06-01 00:00:05","","10168","10011","157","7","7","7","7","true","0","0","0"
"test43","ok","9.47","2026-06-01 00:00:15","","10956","10806","150","7","7","7","7","true","0","0","0"
"test44","ok","9.43","2026-06-01 00:00:24","","10553","10454","99","7","7","7","7","true","0","0","0"
"test45","ok","9.94","2026-06-01 00:00:34","","11668","11551","117","7","7","7","7","true","0","0","0"
"test46","ok","9.58","2026-06-01 00:00:43","","11792","11679","113","7","7","7","7","true","0","0","0"
"test47","ok","9.09","2026-06-01 00:00:53","","10492","10380","112","7","7","7","7","true","0","0","0"
"test48","ok","10.23","2026-06-01 00:01:03","","11904","11764","140","8","8","8","8","true","0","0","0"
"test49","ok","9.19","2026-06-01 00:01:12","","11719","11617","102","7","7","7","7","true","0","0","0"
"test50","ok","8.77","2026-06-01 00:01:21","","10071","9955","116","7","7","7","7","true","0","0","0"
"test51","ok","9.8","2026-06-01 00:01:31","","9158","9028","130","7","7","7","7","true","0","0","0"
"test52","ok","8.85","2026-06-01 00:01:40","","9069","8967","102","7","7","7","7","true","0","0","0"
"test53","ok","10.3","2026-06-01 00:01:50","","11016","10890","126","7","7","7","7","true","0","0","0"
"test54","ok","9.58","2026-06-01 00:01:59","","12049","11905","144","7","7","7","7","true","0","0","0"
"test55","ok","9.52","2026-06-01 00:02:09","","12128","12016","112","7","7","7","7","true","0","0","0"
"test56","ok","9","2026-06-01 00:02:18","","8979","8875","104","6","6","6","6","true","0","0","0"
"test57","ok","9.03","2026-06-01 00:02:27","","8295","8190","105","6","6","6","6","true","0","0","0"
"test58","ok","9.15","2026-06-01 00:02:36","","9976","9874","102","6","6","6","6","true","0","0","0"
"test59","ok","13.05","2026-06-01 00:02:49","","11456","11338","118","7","7","7","7","true","0","0","0"
"test60","ok","9.49","2026-06-01 00:02:59","","10366","10247","119","7","7","7","7","true","0","0","0"
"test61","ok","9.98","2026-06-01 00:03:09","","10448","10333","115","7","7","7","7","true","0","0","0"
"test62","ok","9.62","2026-06-01 00:03:18","","12068","11954","114","7","7","7","7","true","0","0","0"
"test63","ok","8.34","2026-06-01 00:03:27","","8949","8860","89","6","6","6","6","true","0","0","0"
"test64","ok","8.45","2026-06-01 00:03:35","","9325","9168","157","6","6","6","6","true","0","0","0"
"test65","ok","7.87","2026-06-01 00:03:43","","8421","8282","139","6","6","6","6","true","0","0","0"
"test66","ok","8.26","2026-06-01 00:03:51","","7984","7881","103","6","6","6","6","true","0","0","0"
"test67","ok","9.9","2026-06-01 00:04:01","","12335","12100","235","6","6","6","6","true","0","0","0"
"test68","ok","8.2","2026-06-01 00:04:09","","8182","8041","141","6","6","6","6","true","0","0","0"
"test69","ok","8.73","2026-06-01 00:04:18","","7640","7491","149","6","6","6","6","true","0","0","0"
"test70","ok","9.53","2026-06-01 00:04:28","","9628","9488","140","6","6","6","6","true","0","0","0"
"test71","ok","7.92","2026-06-01 00:04:36","","8044","7934","110","6","6","6","6","true","0","0","0"
"test72","ok","8.21","2026-06-01 00:04:44","","8442","8328","114","6","6","6","6","true","0","0","0"
"test73","ok","10.05","2026-06-01 00:04:54","","11429","11307","122","7","7","7","7","true","0","0","0"
"test74","ok","9.66","2026-06-01 00:05:04","","9284","9166","118","7","7","7","7","true","0","0","0"
"test75","ok","10.82","2026-06-01 00:05:14","","11775","11658","117","7","7","7","7","true","0","0","0"
"test76","ok","9.4","2026-06-01 00:05:24","","13090","12989","101","7","7","7","7","true","0","0","0"
"test77","ok","9.32","2026-06-01 00:05:33","","10621","10509","112","7","7","7","7","true","0","0","0"
"test78","ok","11.4","2026-06-01 00:05:45","","14024","13884","140","8","8","8","8","true","0","0","0"
"test79","ok","10.01","2026-06-01 00:05:55","","9343","9195","148","7","7","7","7","true","0","0","0"
"test80","ok","9.33","2026-06-01 00:06:04","","9939","9817","122","7","7","7","7","true","0","0","0"
"test81","ok","9.19","2026-06-01 00:06:13","","8263","8153","110","6","6","6","6","true","0","0","0"
"test82","ok","7.84","2026-06-01 00:06:21","","8469","8355","114","6","6","6","6","true","0","0","0"
"test83","ok","9.7","2026-06-01 00:06:31","","11489","11367","122","7","7","7","7","true","0","0","0"
"test84","ok","10.19","2026-06-01 00:06:41","","9239","9124","115","7","7","7","7","true","0","0","0"
"test85","ok","10.9","2026-06-01 00:06:52","","11726","11609","117","7","7","7","7","true","0","0","0"
"test86","ok","11.23","2026-06-01 00:07:03","","13089","12988","101","7","7","7","7","true","0","0","0"
"test87","ok","9.95","2026-06-01 00:07:13","","10789","10677","112","7","7","7","7","true","0","0","0"
