Case,Status,Seconds,LastRun,FailureType,Tokens,PromptTokens,CompletionTokens,RequestCount,ResponseCount,EndCount,LastResponseId,Complete,UnknownCount,FailCount,InternalErrorCount
test01,ok,6.45,2026-05-31 01:47:53,,3363,3324,39,3,3,3,3,true,0,0,0
test02,ok,7.56,2026-05-31 01:48:01,,4596,4539,57,4,4,4,4,true,0,0,0
test03,ok,6.04,2026-05-31 01:48:07,,4234,4172,62,4,4,4,4,true,0,0,0
test04,ok,5.32,2026-05-31 01:48:12,,4086,4019,67,4,4,4,4,true,0,0,0
test05,ok,12.4,2026-05-31 01:48:25,,5066,4971,95,4,4,4,4,true,0,0,0
test06,ok,8.15,2026-05-31 01:48:33,,6775,6691,84,5,5,5,5,true,0,0,0
test07,ok,9.92,2026-05-31 01:48:43,,10965,10850,115,6,6,6,6,true,0,0,0
test08,ok,13.36,2026-05-31 01:48:56,,12088,11947,141,7,7,7,7,true,0,0,0
test09,ok,15.09,2026-05-31 01:49:11,,13872,13699,173,8,8,8,8,true,0,0,0
test10,ok,14.56,2026-05-31 01:49:26,,16031,15835,196,9,9,9,9,true,0,0,0
test11,ok,15.14,2026-05-31 01:49:53,,18234,18008,226,10,10,10,10,true,0,0,0
test12,ok,41.43,2026-05-31 01:50:34,,28963,28699,264,11,11,11,11,true,0,0,0
test13,ok,17.69,2026-05-31 01:50:52,,23623,23356,267,12,12,12,12,true,0,0,0
test14,ok,26.7,2026-05-31 01:51:19,,47073,46772,301,13,13,13,13,true,0,0,0
test15,ok,20.22,2026-05-31 01:51:39,,29490,29191,299,14,14,14,14,true,0,0,0
test16,ok,25.06,2026-05-31 01:52:04,,29624,29296,328,15,15,15,15,true,0,0,0
test17,ok,25.25,2026-05-31 01:52:29,,36740,36384,356,16,16,16,16,true,0,0,0
test18,ok,27.64,2026-05-31 01:52:57,,54819,54435,384,17,17,17,17,true,0,0,0
test19,ok,29.59,2026-05-31 01:53:27,,51369,50965,404,18,18,18,18,true,0,0,0
test20,ok,31.54,2026-05-31 01:53:58,,51048,50621,427,19,19,19,19,true,0,0,0
test21,ok,7.45,2026-05-31 01:54:06,,7103,7024,79,5,5,5,5,true,0,0,0
test22,ok,12.22,2026-05-31 01:54:18,,10562,10471,91,6,6,6,6,true,0,0,0
test23,ok,11.34,2026-05-31 01:54:29,,13325,13221,104,7,7,7,7,true,0,0,0
test24,ok,47.24,2026-05-31 01:55:17,,17266,17139,127,8,8,8,8,true,0,0,0
test25,ok,15.48,2026-05-31 01:55:32,,19042,18881,161,9,9,9,9,true,0,0,0
test26,ok,19.92,2026-05-31 01:55:52,,24052,23883,169,10,10,10,10,true,0,0,0
test27,ok,32.92,2026-05-31 01:56:25,,26278,26096,182,11,11,11,11,true,0,0,0
test28,ok,42.92,2026-05-31 01:57:08,,24208,24051,157,10,10,10,10,true,0,0,0
test29,ok,20.75,2026-05-31 01:57:29,,27760,27584,176,11,11,11,11,true,0,0,0
test30,ok,20.2,2026-05-31 01:57:49,,26876,26701,175,11,11,11,11,true,0,0,0
test31,ok,53.01,2026-05-31 01:58:42,,70413,70030,383,20,20,20,20,true,0,0,0
test32,ok,85.2,2026-05-31 02:00:07,,50708,50316,392,20,20,20,20,true,0,0,0
test33,ok,131.44,2026-05-31 15:02:03,,57017,56664,353,20,20,20,20,true,0,0,0
test34,ok,128.2,2026-05-31 02:12:08,,57494,57109,385,20,20,20,20,true,0,0,0
test35,ok,296.71,2026-05-31 03:10:37,,52244,51902,342,20,20,20,20,true,0,0,0
test36,ok,41.33,2026-05-31 15:05:15,,45796,45358,438,20,20,20,20,true,0,0,0
test37,ok,213.47,2026-05-31 02:28:15,,54303,53902,401,20,20,20,20,true,0,0,0
test38,ok,35.4,2026-05-31 02:28:50,,53074,52731,343,20,20,20,20,true,0,0,0
test39,ok,178.01,2026-05-31 02:31:48,,58307,57974,333,20,20,20,20,true,0,0,0
test40,ok,303.38,2026-05-31 03:26:24,,54920,54583,337,20,20,20,20,true,0,0,0
test41,ok,9.99,2026-05-31 02:38:01,,8845,8720,125,7,7,7,7,true,0,0,0
test42,ok,11.53,2026-05-31 02:38:12,,8385,8228,157,7,7,7,7,true,0,0,0
test43,ok,10.85,2026-05-31 02:38:23,,9489,9340,149,7,7,7,7,true,0,0,0
test44,ok,10.06,2026-05-31 02:38:33,,9087,8988,99,7,7,7,7,true,0,0,0
test45,ok,10.09,2026-05-31 02:38:43,,10703,10579,124,7,7,7,7,true,0,0,0
test46,ok,14.67,2026-05-31 02:38:58,,10676,10570,106,7,7,7,7,true,0,0,0
test47,ok,9.23,2026-05-31 02:39:07,,8823,8717,106,7,7,7,7,true,0,0,0
test48,ok,11.33,2026-05-31 02:39:19,,10443,10306,137,8,8,8,8,true,0,0,0
test49,ok,9.93,2026-05-31 02:39:29,,10619,10517,102,7,7,7,7,true,0,0,0
test50,ok,10.54,2026-05-31 02:39:39,,8746,8430,316,7,7,7,7,true,0,0,0
test51,ok,9.89,2026-05-31 02:39:49,,7790,7548,242,7,7,7,7,true,0,0,0
test52,ok,9.28,2026-05-31 02:39:58,,7258,7150,108,7,7,7,7,true,0,0,0
test53,ok,11.37,2026-05-31 02:40:10,,9882,9763,119,7,7,7,7,true,0,0,0
test54,ok,10.88,2026-05-31 02:40:21,,10951,10807,144,7,7,7,7,true,0,0,0
test55,ok,12.22,2026-05-31 02:40:33,,11114,10992,122,7,7,7,7,true,0,0,0
test56,ok,9.31,2026-05-31 02:40:42,,7884,7780,104,6,6,6,6,true,0,0,0
test57,ok,8.55,2026-05-31 02:40:51,,7124,7013,111,6,6,6,6,true,0,0,0
test58,ok,9.06,2026-05-31 02:41:00,,9248,9142,106,6,6,6,6,true,0,0,0
test59,ok,11.05,2026-05-31 02:41:11,,10387,10270,117,7,7,7,7,true,0,0,0
test60,ok,10.18,2026-05-31 02:41:21,,9096,8941,155,7,7,7,7,true,0,0,0
test61,ok,9.76,2026-05-31 02:41:31,,7841,7727,114,7,7,7,7,true,0,0,0
test62,ok,9.68,2026-05-31 02:41:40,,10972,10858,114,7,7,7,7,true,0,0,0
test63,ok,8.66,2026-05-31 02:41:49,,7848,7763,85,6,6,6,6,true,0,0,0
test64,ok,9.34,2026-05-31 02:41:58,,7999,7908,91,6,6,6,6,true,0,0,0
test65,ok,8.73,2026-05-31 02:42:07,,7292,7130,162,6,6,6,6,true,0,0,0
test66,ok,8.48,2026-05-31 02:42:16,,6522,6416,106,6,6,6,6,true,0,0,0
test67,ok,10.66,2026-05-31 02:42:26,,12337,12102,235,6,6,6,6,true,0,0,0
test68,ok,8.53,2026-05-31 02:42:35,,7137,6998,139,6,6,6,6,true,0,0,0
test69,ok,9.9,2026-05-31 02:42:45,,6545,6396,149,6,6,6,6,true,0,0,0
test70,ok,9.06,2026-05-31 02:42:54,,8625,8485,140,6,6,6,6,true,0,0,0
test71,ok,7.55,2026-05-31 02:43:01,,6575,6469,106,6,6,6,6,true,0,0,0
test72,ok,9.17,2026-05-31 02:43:11,,7301,7191,110,6,6,6,6,true,0,0,0
test73,ok,10.88,2026-05-31 02:43:22,,10332,10210,122,7,7,7,7,true,0,0,0
test74,ok,11.71,2026-05-31 02:43:33,,7576,7313,263,7,7,7,7,true,0,0,0
test75,ok,11.34,2026-05-31 02:43:45,,10657,10547,110,7,7,7,7,true,0,0,0
test76,ok,10.57,2026-05-31 02:43:55,,12360,12259,101,7,7,7,7,true,0,0,0
test77,ok,10.5,2026-05-31 02:44:06,,8954,8848,106,7,7,7,7,true,0,0,0
test78,ok,11.7,2026-05-31 02:44:17,,12927,12787,140,8,8,8,8,true,0,0,0
test79,ok,11.35,2026-05-31 02:44:29,,7911,7672,239,7,7,7,7,true,0,0,0
test80,ok,12.96,2026-05-31 02:44:42,,9129,8705,424,7,7,7,7,true,0,0,0
test81,ok,9.07,2026-05-31 02:44:51,,6801,6691,110,6,6,6,6,true,0,0,0
