"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","5.19","2026-06-01 12:51:42","","3593","3554","39","3","3","3","3","true","0","0","0"
"test02","ok","7.41","2026-06-01 12:51:49","","5027","4974","53","4","4","4","4","true","0","0","0"
"test03","ok","5.92","2026-06-01 12:51:55","","4950","4892","58","4","4","4","4","true","0","0","0"
"test04","ok","7.05","2026-06-01 12:52:02","","5108","5050","58","4","4","4","4","true","0","0","0"
"test05","ok","7.89","2026-06-01 12:52:10","","5463","5368","95","4","4","4","4","true","0","0","0"
"test06","ok","8.01","2026-06-01 12:52:18","","7097","7013","84","5","5","5","5","true","0","0","0"
"test07","ok","11.62","2026-06-01 12:52:30","","8578","8453","125","6","6","6","6","true","0","0","0"
"test08","ok","10.56","2026-06-01 12:52:40","","11559","11405","154","7","7","7","7","true","0","0","0"
"test09","ok","10.95","2026-06-01 12:52:51","","12170","11997","173","8","8","8","8","true","0","0","0"
"test10","ok","14.83","2026-06-01 12:53:06","","14638","14442","196","9","9","9","9","true","0","0","0"
"test11","ok","17.34","2026-06-01 12:53:36","","16447","16232","215","10","10","10","10","true","0","0","0"
"test12","ok","43.38","2026-06-01 12:54:19","","23094","22834","260","11","11","11","11","true","0","0","0"
"test13","ok","17.65","2026-06-01 12:54:37","","19955","19702","253","12","12","12","12","true","0","0","0"
"test14","ok","28.79","2026-06-01 12:55:06","","34597","33878","719","13","13","13","13","true","0","0","0"
"test15","ok","24.14","2026-06-01 12:55:30","","30131","29841","290","14","14","14","14","true","0","0","0"
"test16","ok","24.2","2026-06-01 12:55:54","","27206","26906","300","15","15","15","15","true","0","0","0"
"test17","ok","23.64","2026-06-01 12:56:18","","30870","30549","321","16","16","16","16","true","0","0","0"
"test18","ok","27.04","2026-06-01 12:56:45","","46888","46546","342","17","17","17","17","true","0","0","0"
"test19","ok","32.37","2026-06-01 12:57:17","","47602","46783","819","18","18","18","18","true","0","0","0"
"test20","ok","32.57","2026-06-01 12:57:50","","47333","46632","701","19","19","19","19","true","0","0","0"
"test21","ok","7.45","2026-06-01 12:57:57","","7510","7431","79","5","5","5","5","true","0","0","0"
"test22","ok","13.21","2026-06-01 12:58:10","","10093","10002","91","6","6","6","6","true","0","0","0"
"test23","ok","11.98","2026-06-01 12:58:22","","12716","12612","104","7","7","7","7","true","0","0","0"
"test24","ok","33.03","2026-06-01 12:58:56","","14863","14736","127","8","8","8","8","true","0","0","0"
"test25","ok","14.4","2026-06-01 12:59:10","","16853","16693","160","9","9","9","9","true","0","0","0"
"test26","ok","15.83","2026-06-01 12:59:26","","20235","20072","163","10","10","10","10","true","0","0","0"
"test27","ok","34.1","2026-06-01 13:00:00","","25573","25387","186","11","11","11","11","true","0","0","0"
"test28","ok","41.7","2026-06-01 13:00:42","","20168","20014","154","10","10","10","10","true","0","0","0"
"test29","ok","19.93","2026-06-01 13:01:01","","23030","22855","175","11","11","11","11","true","0","0","0"
"test30","ok","21.67","2026-06-01 13:01:23","","23017","22841","176","11","11","11","11","true","0","0","0"
"test31","ok","35.09","2026-06-01 13:01:58","","54620","54257","363","20","20","20","20","true","0","0","0"
"test32","ok","38.1","2026-06-01 13:02:36","","59561","59177","384","20","20","20","20","true","0","0","0"
"test33","ok","61.72","2026-06-01 13:03:38","","48836","48474","362","20","20","20","20","true","0","0","0"
"test34","ok","57.45","2026-06-01 13:04:36","","44554","44204","350","20","20","20","20","true","0","0","0"
"test35","ok","55.33","2026-06-01 13:05:31","","45017","44665","352","20","20","20","20","true","0","0","0"
"test36","ok","40.32","2026-06-01 13:06:11","","49055","48618","437","20","20","20","20","true","0","0","0"
"test37","timeout","918.58","2026-06-01 13:21:30","TIMEOUT","0","0","0","20","16","16","16","false","0","1","0"
"test38","ok","33.8","2026-06-01 13:22:04","","44521","44196","325","20","20","20","20","true","0","0","0"
"test39","ok","183.39","2026-06-01 13:25:07","","57094","56772","322","20","20","20","20","true","0","0","0"
"test40","ok","44.37","2026-06-01 13:25:52","","44785","44436","349","20","20","20","20","true","0","0","0"
"test41","ok","11.05","2026-06-01 13:26:03","","10173","10044","129","7","7","7","7","true","0","0","0"
"test42","ok","12.11","2026-06-01 13:26:15","","10336","10179","157","7","7","7","7","true","0","0","0"
"test43","ok","12.9","2026-06-01 13:26:28","","10904","10755","149","7","7","7","7","true","0","0","0"
"test44","ok","10.7","2026-06-01 13:26:38","","10707","10608","99","7","7","7","7","true","0","0","0"
"test45","ok","11.74","2026-06-01 13:26:50","","11530","11413","117","7","7","7","7","true","0","0","0"
"test46","ok","11.4","2026-06-01 13:27:02","","11531","11414","117","7","7","7","7","true","0","0","0"
"test47","ok","10.81","2026-06-01 13:27:12","","10688","10576","112","7","7","7","7","true","0","0","0"
"test48","ok","11.31","2026-06-01 13:27:24","","11815","11675","140","8","8","8","8","true","0","0","0"
"test49","ok","11.61","2026-06-01 13:27:35","","11439","11343","96","7","7","7","7","true","0","0","0"
"test50","ok","11.12","2026-06-01 13:27:47","","10170","10047","123","7","7","7","7","true","0","0","0"
"test51","ok","10.77","2026-06-01 13:27:57","","9598","9465","133","7","7","7","7","true","0","0","0"
"test52","ok","10.83","2026-06-01 13:28:08","","9402","9300","102","7","7","7","7","true","0","0","0"
"test53","ok","12.37","2026-06-01 13:28:21","","10242","10116","126","7","7","7","7","true","0","0","0"
"test54","ok","10.14","2026-06-01 13:28:31","","11908","11764","144","7","7","7","7","true","0","0","0"
