"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","14.48","2026-06-01 23:21:50","","3444","3405","39","3","3","3","3","true","0","0","0"
"test02","ok","21.27","2026-06-01 23:22:11","","4808","4755","53","4","4","4","4","true","0","0","0"
"test03","ok","20.83","2026-06-01 23:22:32","","4732","4674","58","4","4","4","4","true","0","0","0"
"test04","ok","13.69","2026-06-01 23:22:46","","4888","4830","58","4","4","4","4","true","0","0","0"
"test05","ok","14.58","2026-06-01 23:23:00","","5244","5149","95","4","4","4","4","true","0","0","0"
"test06","ok","11.43","2026-06-01 23:23:12","","6992","6875","117","5","5","5","5","true","0","0","0"
"test07","ok","13.28","2026-06-01 23:23:25","","9274","9155","119","6","6","6","6","true","0","0","0"
"test08","ok","16.21","2026-06-01 23:23:41","","11806","11636","170","7","7","7","7","true","0","0","0"
"test09","ok","20.02","2026-06-01 23:24:01","","12074","11894","180","8","8","8","8","true","0","0","0"
"test10","ok","21.21","2026-06-01 23:24:23","","14694","14498","196","9","9","9","9","true","0","0","0"
"test11","ok","25.9","2026-06-01 23:25:08","","16523","16304","219","10","10","10","10","true","0","0","0"
"test12","ok","56.99","2026-06-01 23:26:05","","22870","22443","427","11","11","11","11","true","0","0","0"
"test13","ok","30.12","2026-06-01 23:26:36","","20357","20079","278","12","12","12","12","true","0","0","0"
"test14","ok","40.85","2026-06-01 23:27:16","","36249","35948","301","13","13","13","13","true","0","0","0"
"test15","ok","33.35","2026-06-01 23:27:50","","30455","30137","318","14","14","14","14","true","0","0","0"
"test16","ok","56.03","2026-06-01 23:28:46","","28470","27958","512","15","15","15","15","true","0","0","0"
"test17","ok","92.38","2026-06-01 23:30:18","","43623","39241","4382","16","16","16","16","true","0","0","0"
"test18","ok","39.58","2026-06-01 23:30:58","","46470","46133","337","17","17","17","17","true","0","0","0"
