"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","14.04","2026-06-01 21:08:26","","3537","3498","39","3","3","3","3","true","0","0","0"
"test02","ok","14.27","2026-06-01 21:08:41","","4944","4891","53","4","4","4","4","true","0","0","0"
"test03","failed","12.54","2026-06-01 21:08:53","APP_RUNTIME","4944","4886","58","4","4","4","4","true","0","1","0"
"test04","ok","11.48","2026-06-01 21:09:05","","5026","4968","58","4","4","4","4","true","0","0","0"
"test05","ok","28.15","2026-06-01 21:09:33","","5382","5287","95","4","4","4","4","true","0","0","0"
"test06","ok","17.44","2026-06-01 21:09:50","","7083","6995","88","5","5","5","5","true","0","0","0"
"test07","ok","25.79","2026-06-01 21:10:16","","9055","8931","124","6","6","6","6","true","0","0","0"
"test08","ok","16.93","2026-06-01 21:10:33","","11480","11335","145","7","7","7","7","true","0","0","0"
"test09","ok","18.52","2026-06-01 21:10:52","","12162","11989","173","8","8","8","8","true","0","0","0"
"test10","ok","20.6","2026-06-01 21:11:12","","14604","14408","196","9","9","9","9","true","0","0","0"
"test11","ok","28.97","2026-06-01 21:11:57","","16478","16263","215","10","10","10","10","true","0","0","0"
"test12","ok","46.49","2026-06-01 21:12:43","","22874","22447","427","11","11","11","11","true","0","0","0"
"test13","ok","24.53","2026-06-01 21:13:08","","20116","19863","253","12","12","12","12","true","0","0","0"
"test14","ok","31.03","2026-06-01 21:13:39","","36351","36050","301","13","13","13","13","true","0","0","0"
"test15","ok","33.74","2026-06-01 21:14:13","","29753","29467","286","14","14","14","14","true","0","0","0"
"test16","ok","33.41","2026-06-01 21:14:46","","27625","27250","375","15","15","15","15","true","0","0","0"
"test17","ok","37.61","2026-06-01 21:15:24","","31131","30806","325","16","16","16","16","true","0","0","0"
"test18","ok","39.48","2026-06-01 21:16:04","","46292","45955","337","17","17","17","17","true","0","0","0"
"test19","ok","43.45","2026-06-01 21:16:47","","47316","46605","711","18","18","18","18","true","0","0","0"
"test20","ok","45.99","2026-06-01 21:17:33","","45953","45362","591","19","19","19","19","true","0","0","0"
"test21","ok","18.98","2026-06-01 21:17:52","","7398","7319","79","5","5","5","5","true","0","0","0"
"test22","ok","20.49","2026-06-01 21:18:13","","9953","9862","91","6","6","6","6","true","0","0","0"
"test23","ok","15.15","2026-06-01 21:18:28","","12542","12438","104","7","7","7","7","true","0","0","0"
"test24","ok","65.45","2026-06-01 21:19:33","","14752","14625","127","8","8","8","8","true","0","0","0"
"test25","ok","19.39","2026-06-01 21:19:53","","16791","16631","160","9","9","9","9","true","0","0","0"
"test26","ok","20.6","2026-06-01 21:20:13","","20042","19879","163","10","10","10","10","true","0","0","0"
"test27","ok","45.07","2026-06-01 21:20:58","","23012","22830","182","11","11","11","11","true","0","0","0"
"test28","ok","46.7","2026-06-01 21:21:45","","19888","19734","154","10","10","10","10","true","0","0","0"
"test29","ok","26.11","2026-06-01 21:22:11","","22810","22643","167","11","11","11","11","true","0","0","0"
"test30","ok","20.88","2026-06-01 21:22:32","","22741","22574","167","11","11","11","11","true","0","0","0"
"test31","ok","38.98","2026-06-01 21:23:11","","54325","53915","410","20","20","20","20","true","0","0","0"
"test32","failed","66.9","2026-06-01 21:24:18","APP_RUNTIME","59704","59323","381","20","20","20","20","true","0","1","0"
"test33","failed","92.89","2026-06-01 21:25:51","APP_RUNTIME","49604","49240","364","20","20","20","20","true","0","1","0"
"test34","ok","113.83","2026-06-01 21:27:45","","43852","43483","369","20","20","20","20","true","0","0","0"
"test35","ok","93.16","2026-06-01 21:29:18","","44549","44198","351","20","20","20","20","true","0","0","0"
"test36","ok","74.09","2026-06-01 21:30:32","","48636","48199","437","20","20","20","20","true","0","0","0"
"test37","failed","119","2026-06-01 21:32:31","APP_RUNTIME","49987","49582","405","20","20","20","20","true","0","3","0"
"test38","failed","49.29","2026-06-01 21:33:21","APP_RUNTIME","43934","43579","355","20","20","20","20","true","0","1","0"
"test39","ok","266.49","2026-06-01 21:37:47","","56495","56180","315","20","20","20","20","true","0","0","0"
"test40","failed","61.42","2026-06-01 21:38:49","APP_RUNTIME","44624","44283","341","20","20","20","20","true","0","2","0"
"test41","ok","13.7","2026-06-01 21:39:03","","10105","9976","129","7","7","7","7","true","0","0","0"
"test42","ok","15.47","2026-06-01 21:39:18","","10204","10041","163","7","7","7","7","true","0","0","0"
"test43","ok","18.31","2026-06-01 21:39:36","","10742","10593","149","7","7","7","7","true","0","0","0"
"test44","ok","15.79","2026-06-01 21:39:52","","10522","10423","99","7","7","7","7","true","0","0","0"
"test45","ok","16.65","2026-06-01 21:40:09","","11359","11242","117","7","7","7","7","true","0","0","0"
"test46","ok","14.75","2026-06-01 21:40:24","","11364","11247","117","7","7","7","7","true","0","0","0"
"test47","ok","13.12","2026-06-01 21:40:37","","10523","10411","112","7","7","7","7","true","0","0","0"
"test48","ok","15.05","2026-06-01 21:40:52","","11808","11668","140","8","8","8","8","true","0","0","0"
"test49","ok","13.44","2026-06-01 21:41:05","","11324","11222","102","7","7","7","7","true","0","0","0"
"test50","ok","13.58","2026-06-01 21:41:19","","10101","9982","119","7","7","7","7","true","0","0","0"
"test51","ok","13.38","2026-06-01 21:41:32","","9440","9307","133","7","7","7","7","true","0","0","0"
"test52","ok","16.68","2026-06-01 21:41:49","","9243","9141","102","7","7","7","7","true","0","0","0"
"test53","ok","14.15","2026-06-01 21:42:03","","10256","10132","124","7","7","7","7","true","0","0","0"
"test54","ok","20.56","2026-06-01 21:42:24","","11745","11601","144","7","7","7","7","true","0","0","0"
"test55","ok","19.8","2026-06-01 21:42:44","","10666","10554","112","7","7","7","7","true","0","0","0"
"test56","ok","18.24","2026-06-01 21:43:02","","8935","8831","104","6","6","6","6","true","0","0","0"
"test57","ok","13.18","2026-06-01 21:43:15","","8326","8221","105","6","6","6","6","true","0","0","0"
"test58","ok","13.66","2026-06-01 21:43:29","","8606","8497","109","6","6","6","6","true","0","0","0"
"test59","ok","15.8","2026-06-01 21:43:44","","11339","11222","117","7","7","7","7","true","0","0","0"
"test60","ok","19.97","2026-06-01 21:44:04","","10390","10271","119","7","7","7","7","true","0","0","0"
"test61","ok","20.34","2026-06-01 21:44:25","","10362","10123","239","7","7","7","7","true","0","0","0"
"test62","ok","18.81","2026-06-01 21:44:44","","11803","11685","118","7","7","7","7","true","0","0","0"
"test63","ok","17.46","2026-06-01 21:45:01","","8871","8782","89","6","6","6","6","true","0","0","0"
"test64","ok","17.24","2026-06-01 21:45:18","","7935","7809","126","6","6","6","6","true","0","0","0"
"test65","ok","16.61","2026-06-01 21:45:35","","8608","8447","161","6","6","6","6","true","0","0","0"
"test66","ok","16.96","2026-06-01 21:45:52","","8276","8170","106","6","6","6","6","true","0","0","0"
"test67","ok","18.65","2026-06-01 21:46:11","","11712","11461","251","6","6","6","6","true","0","0","0"
"test68","ok","14.98","2026-06-01 21:46:26","","7255","7110","145","6","6","6","6","true","0","0","0"
"test69","ok","17.26","2026-06-01 21:46:43","","7781","7630","151","6","6","6","6","true","0","0","0"
"test70","ok","21.4","2026-06-01 21:47:04","","8326","8182","144","6","6","6","6","true","0","0","0"
"test71","ok","16.05","2026-06-01 21:47:20","","8024","7914","110","6","6","6","6","true","0","0","0"
"test72","ok","20.41","2026-06-01 21:47:41","","8382","8272","110","6","6","6","6","true","0","0","0"
