"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","failed","3.12","2026-06-01 17:29:42","APP_INTERNAL_ERROR","0","0","0","3","3","3","3","true","0","0","2"
"test02","failed","1.6","2026-06-01 17:29:44","APP_INTERNAL_ERROR","0","0","0","4","4","4","4","true","0","0","3"
"test03","failed","1.69","2026-06-01 17:29:46","APP_INTERNAL_ERROR","0","0","0","4","4","4","4","true","0","0","3"
"test04","failed","1.77","2026-06-01 17:29:47","APP_INTERNAL_ERROR","0","0","0","4","4","4","4","true","0","0","3"
"test05","failed","1.46","2026-06-01 17:29:49","APP_INTERNAL_ERROR","0","0","0","4","4","4","4","true","0","0","3"
"test06","failed","1.36","2026-06-01 17:29:50","APP_INTERNAL_ERROR","0","0","0","5","5","5","5","true","0","0","4"
"test07","failed","1.37","2026-06-01 17:29:52","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test08","failed","1.43","2026-06-01 17:29:53","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test09","failed","1.41","2026-06-01 17:29:54","APP_INTERNAL_ERROR","0","0","0","8","8","8","8","true","0","0","7"
"test10","failed","1.35","2026-06-01 17:29:56","APP_INTERNAL_ERROR","0","0","0","9","9","9","9","true","0","0","8"
"test11","failed","1.39","2026-06-01 17:29:59","APP_INTERNAL_ERROR","0","0","0","10","10","10","10","true","0","0","9"
"test12","failed","1.44","2026-06-01 17:30:00","APP_INTERNAL_ERROR","0","0","0","11","11","11","11","true","0","0","10"
"test13","failed","1.47","2026-06-01 17:30:02","APP_INTERNAL_ERROR","0","0","0","12","12","12","12","true","0","0","11"
"test14","failed","1.37","2026-06-01 17:30:03","APP_INTERNAL_ERROR","0","0","0","13","13","13","13","true","0","0","12"
"test15","failed","1.4","2026-06-01 17:30:04","APP_INTERNAL_ERROR","0","0","0","14","14","14","14","true","0","0","13"
"test16","failed","1.49","2026-06-01 17:30:06","APP_INTERNAL_ERROR","0","0","0","15","15","15","15","true","0","0","14"
"test17","failed","1.46","2026-06-01 17:30:07","APP_INTERNAL_ERROR","0","0","0","16","16","16","16","true","0","0","15"
"test18","failed","1.42","2026-06-01 17:30:09","APP_INTERNAL_ERROR","0","0","0","17","17","17","17","true","0","0","16"
"test19","failed","1.34","2026-06-01 17:30:10","APP_INTERNAL_ERROR","0","0","0","18","18","18","18","true","0","0","17"
"test20","failed","1.37","2026-06-01 17:30:12","APP_INTERNAL_ERROR","0","0","0","19","19","19","19","true","0","0","18"
"test21","failed","1.45","2026-06-01 17:30:13","APP_INTERNAL_ERROR","0","0","0","5","5","5","5","true","0","0","4"
"test22","failed","1.32","2026-06-01 17:30:14","APP_INTERNAL_ERROR","0","0","0","6","6","6","6","true","0","0","5"
"test23","failed","1.37","2026-06-01 17:30:16","APP_INTERNAL_ERROR","0","0","0","7","7","7","7","true","0","0","6"
"test24","failed","1.42","2026-06-01 17:30:17","APP_INTERNAL_ERROR","0","0","0","8","8","8","8","true","0","0","7"
"test25","failed","1.37","2026-06-01 17:30:19","APP_INTERNAL_ERROR","0","0","0","9","9","9","9","true","0","0","8"
"test26","failed","1.51","2026-06-01 17:30:20","APP_INTERNAL_ERROR","0","0","0","10","10","10","10","true","0","0","9"
"test27","failed","1.48","2026-06-01 17:30:22","APP_INTERNAL_ERROR","0","0","0","11","11","11","11","true","0","0","10"
"test28","failed","1.51","2026-06-01 17:30:23","APP_INTERNAL_ERROR","0","0","0","10","10","10","10","true","0","0","9"
"test29","failed","1.46","2026-06-01 17:30:25","APP_INTERNAL_ERROR","0","0","0","11","11","11","11","true","0","0","10"
"test30","failed","1.48","2026-06-01 17:30:26","APP_INTERNAL_ERROR","0","0","0","11","11","11","11","true","0","0","10"
"test31","failed","1.47","2026-06-01 17:30:28","APP_INTERNAL_ERROR","0","0","0","20","20","20","20","true","0","0","19"
"test32","failed","1.48","2026-06-01 17:30:29","APP_INTERNAL_ERROR","0","0","0","20","20","20","20","true","0","0","19"
