"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","8.49","2026-06-01 18:28:25","","3221","3182","39","3","3","3","3","true","0","0","0"
"test02","ok","11.09","2026-06-01 18:28:36","","4524","4473","51","4","4","4","4","true","0","0","0"
"test03","ok","8.47","2026-06-01 18:28:44","","4476","4419","57","4","4","4","4","true","0","0","0"
"test04","ok","8.78","2026-06-01 18:28:53","","4607","4549","58","4","4","4","4","true","0","0","0"
"test05","ok","9.57","2026-06-01 18:29:03","","4962","4867","95","4","4","4","4","true","0","0","0"
"test06","ok","10.48","2026-06-01 18:29:13","","6553","6471","82","5","5","5","5","true","0","0","0"
"test07","ok","11.51","2026-06-01 18:29:25","","8416","8299","117","6","6","6","6","true","0","0","0"
"test08","ok","13.43","2026-06-01 18:29:38","","10744","10601","143","7","7","7","7","true","0","0","0"
"test09","ok","15.61","2026-06-01 18:29:54","","11321","11150","171","8","8","8","8","true","0","0","0"
"test10","ok","19.92","2026-06-01 18:30:14","","13664","13466","198","9","9","9","9","true","0","0","0"
"test11","ok","19.46","2026-06-01 18:30:47","","15429","15216","213","10","10","10","10","true","0","0","0"
"test12","ok","61.87","2026-06-01 18:31:49","","22036","21778","258","11","11","11","11","true","0","0","0"
"test13","ok","22.92","2026-06-01 18:32:12","","18867","18612","255","12","12","12","12","true","0","0","0"
"test14","ok","47.47","2026-06-01 18:32:59","","36685","35974","711","13","13","13","13","true","0","0","0"
"test15","ok","25.18","2026-06-01 18:33:25","","28285","28001","284","14","14","14","14","true","0","0","0"
"test16","ok","32.07","2026-06-01 18:33:57","","25966","25583","383","15","15","15","15","true","0","0","0"
"test17","ok","31.11","2026-06-01 18:34:28","","32093","31679","414","16","16","16","16","true","0","0","0"
"test18","ok","29.64","2026-06-01 18:34:58","","45388","45051","337","17","17","17","17","true","0","0","0"
"test19","ok","42.43","2026-06-01 18:35:40","","48008","46854","1154","18","18","18","18","true","0","0","0"
"test20","ok","41.56","2026-06-01 18:36:22","","44037","43435","602","19","19","19","19","true","0","0","0"
"test21","ok","12.01","2026-06-01 18:36:34","","6757","6681","76","5","5","5","5","true","0","0","0"
"test22","ok","19.61","2026-06-01 18:36:53","","9097","9009","88","6","6","6","6","true","0","0","0"
"test23","ok","13.9","2026-06-01 18:37:07","","11443","11349","94","7","7","7","7","true","0","0","0"
"test24","ok","81.52","2026-06-01 18:38:29","","13566","13442","124","8","8","8","8","true","0","0","0"
"test25","ok","17.59","2026-06-01 18:38:46","","15523","15373","150","9","9","9","9","true","0","0","0"
"test26","ok","20.26","2026-06-01 18:39:07","","19272","19118","154","10","10","10","10","true","0","0","0"
"test27","ok","43.87","2026-06-01 18:39:51","","21178","21002","176","11","11","11","11","true","0","0","0"
"test28","ok","57.85","2026-06-01 18:40:49","","18212","18059","153","10","10","10","10","true","0","0","0"
"test29","ok","26.75","2026-06-01 18:41:15","","20905","20739","166","11","11","11","11","true","0","0","0"
"test30","ok","19.96","2026-06-01 18:41:35","","20841","20679","162","11","11","11","11","true","0","0","0"
"test31","ok","35.71","2026-06-01 18:42:11","","51770","51401","369","20","20","20","20","true","0","0","0"
"test32","ok","42.12","2026-06-01 18:42:53","","56417","56086","331","20","20","20","20","true","0","0","0"
"test33","ok","64.66","2026-06-01 18:43:58","","44438","44091","347","20","20","20","20","true","0","0","0"
"test34","ok","101.6","2026-06-01 18:45:40","","41656","41263","393","20","20","20","20","true","0","0","0"
"test35","failed","692.39","2026-06-01 18:57:12","APP_RUNTIME","44017","43661","356","20","20","20","20","true","0","1","0"
"test36","ok","45.68","2026-06-01 18:57:58","","45644","45221","423","20","20","20","20","true","0","0","0"
"test37","timeout","922.21","2026-06-01 19:13:20","TIMEOUT","0","0","0","20","15","15","15","false","0","0","0"
"test38","ok","34.62","2026-06-01 19:13:55","","41152","40831","321","20","20","20","20","true","0","0","0"
"test39","ok","214.77","2026-06-01 19:17:30","","52705","52396","309","20","20","20","20","true","0","0","0"
"test40","ok","55.15","2026-06-01 19:18:25","","41223","40887","336","20","20","20","20","true","0","0","0"
"test41","ok","12.1","2026-06-01 19:18:37","","9360","9237","123","7","7","7","7","true","0","0","0"
"test42","ok","13.59","2026-06-01 19:18:51","","9528","9373","155","7","7","7","7","true","0","0","0"
"test43","ok","13.46","2026-06-01 19:19:04","","9887","9741","146","7","7","7","7","true","0","0","0"
"test44","ok","12.22","2026-06-01 19:19:16","","9678","9581","97","7","7","7","7","true","0","0","0"
