"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","10.44","2026-06-01 18:01:47","","3221","3182","39","3","3","3","3","true","0","0","0"
"test02","ok","13.51","2026-06-01 18:02:01","","4522","4471","51","4","4","4","4","true","0","0","0"
"test03","ok","8.6","2026-06-01 18:02:10","","4477","4420","57","4","4","4","4","true","0","0","0"
"test04","ok","8.95","2026-06-01 18:02:19","","4607","4549","58","4","4","4","4","true","0","0","0"
"test05","ok","10.6","2026-06-01 18:02:29","","4962","4867","95","4","4","4","4","true","0","0","0"
"test06","ok","11.45","2026-06-01 18:02:41","","6553","6471","82","5","5","5","5","true","0","0","0"
"test07","ok","13.5","2026-06-01 18:02:54","","8415","8298","117","6","6","6","6","true","0","0","0"
"test08","ok","14.35","2026-06-01 18:03:09","","10739","10596","143","7","7","7","7","true","0","0","0"
"test09","ok","17.44","2026-06-01 18:03:26","","11324","11153","171","8","8","8","8","true","0","0","0"
"test10","ok","20.83","2026-06-01 18:03:47","","13656","13462","194","9","9","9","9","true","0","0","0"
"test11","ok","20.74","2026-06-01 18:04:23","","15432","15216","216","10","10","10","10","true","0","0","0"
"test12","ok","53.43","2026-06-01 18:05:16","","21813","21374","439","11","11","11","11","true","0","0","0"
"test13","ok","22.8","2026-06-01 18:05:39","","18839","18592","247","12","12","12","12","true","0","0","0"
"test14","ok","29.35","2026-06-01 18:06:08","","34980","34681","299","13","13","13","13","true","0","0","0"
"test15","ok","25.94","2026-06-01 18:06:34","","28281","27998","283","14","14","14","14","true","0","0","0"
"test16","ok","31.56","2026-06-01 18:07:06","","25800","25502","298","15","15","15","15","true","0","0","0"
"test17","ok","42.45","2026-06-01 18:07:48","","33442","32348","1094","16","16","16","16","true","0","0","0"
"test18","ok","50.07","2026-06-01 18:08:38","","50352","48410","1942","17","17","17","17","true","0","0","0"
"test19","ok","85.82","2026-06-01 18:10:04","","52037","47485","4552","18","18","18","18","true","0","0","0"
"test20","ok","48.5","2026-06-01 18:10:53","","45608","44752","856","19","19","19","19","true","0","0","0"
"test21","ok","10.02","2026-06-01 18:11:03","","6756","6680","76","5","5","5","5","true","0","0","0"
"test22","ok","17","2026-06-01 18:11:20","","9093","9009","84","6","6","6","6","true","0","0","0"
"test23","failed","31.64","2026-06-01 18:11:51","APP_RUNTIME","9081","9002","79","7","7","7","7","true","0","1","0"
"test24","ok","67.78","2026-06-01 18:12:59","","13566","13442","124","8","8","8","8","true","0","0","0"
"test25","ok","18.56","2026-06-01 18:13:18","","15520","15370","150","9","9","9","9","true","0","0","0"
"test26","ok","18.99","2026-06-01 18:13:37","","19343","19185","158","10","10","10","10","true","0","0","0"
"test27","failed","80.99","2026-06-01 18:14:58","APP_RUNTIME","15249","15112","137","11","11","11","11","true","0","2","0"
"test28","failed","73.45","2026-06-01 18:16:11","APP_RUNTIME","15617","15486","131","10","10","10","10","true","0","1","0"
"test29","failed","68.51","2026-06-01 18:17:20","APP_RUNTIME","15628","15497","131","11","11","11","11","true","0","2","0"
"test30","failed","107.9","2026-06-01 18:19:08","APP_RUNTIME","9083","9004","79","11","11","11","11","true","0","5","0"
"test31","ok","39.29","2026-06-01 18:19:47","","51768","51361","407","20","20","20","20","true","0","0","0"
"test32","ok","43.22","2026-06-01 18:20:30","","56340","56010","330","20","20","20","20","true","0","0","0"
"test33","ok","64.42","2026-06-01 18:21:35","","45622","45277","345","20","20","20","20","true","0","0","0"
"test34","ok","78.9","2026-06-01 18:22:54","","41156","40811","345","20","20","20","20","true","0","0","0"
"test35","failed","661.03","2026-06-01 18:33:55","APP_RUNTIME","44006","43652","354","20","20","20","20","true","0","1","0"
"test36","ok","48.06","2026-06-01 18:34:43","","45723","45293","430","20","20","20","20","true","0","0","0"
"test37","timeout","927.16","2026-06-01 18:50:10","TIMEOUT","0","0","0","20","16","16","16","false","0","0","0"
"test38","ok","36.47","2026-06-01 18:50:47","","41240","40919","321","20","20","20","20","true","0","0","0"
"test39","ok","236.45","2026-06-01 18:54:43","","52704","52395","309","20","20","20","20","true","0","0","0"
"test40","failed","60.56","2026-06-01 18:55:44","APP_RUNTIME","42234","41902","332","20","20","20","20","true","0","1","0"
"test41","ok","13.35","2026-06-01 18:55:57","","9363","9240","123","7","7","7","7","true","0","0","0"
"test42","ok","12.95","2026-06-01 18:56:10","","9532","9373","159","7","7","7","7","true","0","0","0"
"test43","ok","13.19","2026-06-01 18:56:24","","9887","9741","146","7","7","7","7","true","0","0","0"
"test44","ok","12.49","2026-06-01 18:56:36","","9679","9582","97","7","7","7","7","true","0","0","0"
"test45","ok","14.05","2026-06-01 18:56:50","","10398","10287","111","7","7","7","7","true","0","0","0"
"test46","ok","13.46","2026-06-01 18:57:04","","10390","10280","110","7","7","7","7","true","0","0","0"
"test47","ok","13.2","2026-06-01 18:57:17","","9673","9567","106","7","7","7","7","true","0","0","0"
"test48","ok","15.07","2026-06-01 18:57:32","","10964","10826","138","8","8","8","8","true","0","0","0"
"test49","ok","11.09","2026-06-01 18:57:43","","10307","10216","91","7","7","7","7","true","0","0","0"
"test50","ok","11.74","2026-06-01 18:57:55","","9366","9245","121","7","7","7","7","true","0","0","0"
"test51","ok","12.35","2026-06-01 18:58:07","","8700","8569","131","7","7","7","7","true","0","0","0"
"test52","ok","11.26","2026-06-01 18:58:18","","8507","8407","100","7","7","7","7","true","0","0","0"
"test53","ok","14.46","2026-06-01 18:58:33","","9520","9398","122","7","7","7","7","true","0","0","0"
"test54","ok","13.95","2026-06-01 18:58:47","","10708","10556","152","7","7","7","7","true","0","0","0"
"test55","ok","11.88","2026-06-01 18:58:59","","9824","9714","110","7","7","7","7","true","0","0","0"
"test56","ok","10.31","2026-06-01 18:59:09","","8187","8094","93","6","6","6","6","true","0","0","0"
"test57","ok","9.32","2026-06-01 18:59:18","","7693","7590","103","6","6","6","6","true","0","0","0"
"test58","ok","11.21","2026-06-01 18:59:30","","7966","7863","103","6","6","6","6","true","0","0","0"
"test59","ok","11.8","2026-06-01 18:59:41","","10341","10236","105","7","7","7","7","true","0","0","0"
