"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","16.23","2026-06-01 22:21:14","","3536","3497","39","3","3","3","3","true","0","0","0"
"test02","ok","15.43","2026-06-01 22:21:29","","4945","4892","53","4","4","4","4","true","0","0","0"
"test03","ok","20.1","2026-06-01 22:21:50","","4870","4812","58","4","4","4","4","true","0","0","0"
"test04","ok","12.54","2026-06-01 22:22:02","","5031","4969","62","4","4","4","4","true","0","0","0"
"test05","ok","17.02","2026-06-01 22:22:19","","5379","5288","91","4","4","4","4","true","0","0","0"
"test06","ok","21.16","2026-06-01 22:22:40","","6858","6764","94","5","5","5","5","true","0","0","0"
"test07","ok","15.67","2026-06-01 22:22:56","","9053","8929","124","6","6","6","6","true","0","0","0"
"test08","ok","25.11","2026-06-01 22:23:21","","11482","11337","145","7","7","7","7","true","0","0","0"
"test09","ok","17.87","2026-06-01 22:23:39","","12164","11991","173","8","8","8","8","true","0","0","0"
"test10","ok","22.36","2026-06-01 22:24:01","","14634","14428","206","9","9","9","9","true","0","0","0"
"test11","ok","20.6","2026-06-01 22:24:35","","16355","16131","224","10","10","10","10","true","0","0","0"
"test12","ok","60.2","2026-06-01 22:25:35","","23192","22932","260","11","11","11","11","true","0","0","0"
"test13","ok","40.15","2026-06-01 22:26:15","","20113","19860","253","12","12","12","12","true","0","0","0"
"test14","ok","48.33","2026-06-01 22:27:04","","36350","36049","301","13","13","13","13","true","0","0","0"
"test15","ok","44.14","2026-06-01 22:27:48","","29755","29469","286","14","14","14","14","true","0","0","0"
"test16","ok","37.53","2026-06-01 22:28:25","","27377","27077","300","15","15","15","15","true","0","0","0"
"test17","ok","95.98","2026-06-01 22:30:01","","43382","38979","4403","16","16","16","16","true","0","0","0"
"test18","ok","46.84","2026-06-01 22:30:48","","46273","45939","334","17","17","17","17","true","0","0","0"
"test19","ok","52.65","2026-06-01 22:31:41","","46397","45853","544","18","18","18","18","true","0","0","0"
"test20","ok","59.03","2026-06-01 22:32:40","","47374","46811","563","19","19","19","19","true","0","0","0"
"test21","ok","21.28","2026-06-01 22:33:01","","7397","7318","79","5","5","5","5","true","0","0","0"
"test22","ok","21.61","2026-06-01 22:33:23","","9955","9864","91","6","6","6","6","true","0","0","0"
"test23","ok","22.56","2026-06-01 22:33:46","","12545","12441","104","7","7","7","7","true","0","0","0"
"test24","ok","82.37","2026-06-01 22:35:08","","14752","14625","127","8","8","8","8","true","0","0","0"
"test25","ok","21.73","2026-06-01 22:35:30","","16793","16633","160","9","9","9","9","true","0","0","0"
"test26","ok","25.65","2026-06-01 22:35:55","","20043","19880","163","10","10","10","10","true","0","0","0"
"test27","ok","53.41","2026-06-01 22:36:49","","25340","25163","177","11","11","11","11","true","0","0","0"
"test28","ok","56.33","2026-06-01 22:37:45","","19907","19748","159","10","10","10","10","true","0","0","0"
"test29","ok","29.02","2026-06-01 22:38:14","","22810","22643","167","11","11","11","11","true","0","0","0"
"test30","ok","27.09","2026-06-01 22:38:41","","22674","22493","181","11","11","11","11","true","0","0","0"
"test31","ok","46.32","2026-06-01 22:39:28","","54303","53899","404","20","20","20","20","true","0","0","0"
"test32","ok","63.43","2026-06-01 22:40:31","","59182","58801","381","20","20","20","20","true","0","0","0"
"test33","ok","90.48","2026-06-01 22:42:02","","47528","47163","365","20","20","20","20","true","0","0","0"
"test34","ok","107.17","2026-06-01 22:43:49","","44184","43811","373","20","20","20","20","true","0","0","0"
"test35","ok","90.06","2026-06-01 22:45:19","","44514","44169","345","20","20","20","20","true","0","0","0"
"test36","ok","58.26","2026-06-01 22:46:18","","48613","48178","435","20","20","20","20","true","0","0","0"
"test37","ok","108.87","2026-06-01 22:48:07","","51537","50963","574","20","20","20","20","true","0","0","0"
"test38","ok","44.04","2026-06-01 22:48:51","","44044","43719","325","20","20","20","20","true","0","0","0"
"test39","ok","170.63","2026-06-01 22:51:41","","56498","56183","315","20","20","20","20","true","0","0","0"
"test40","ok","58.4","2026-06-01 22:52:40","","44157","43808","349","20","20","20","20","true","0","0","0"
"test41","ok","13.47","2026-06-01 22:52:53","","10102","9977","125","7","7","7","7","true","0","0","0"
"test42","ok","12.78","2026-06-01 22:53:06","","10266","10109","157","7","7","7","7","true","0","0","0"
"test43","ok","15.49","2026-06-01 22:53:22","","10744","10595","149","7","7","7","7","true","0","0","0"
"test44","ok","12.74","2026-06-01 22:53:35","","10523","10424","99","7","7","7","7","true","0","0","0"
"test45","ok","15.56","2026-06-01 22:53:50","","11361","11244","117","7","7","7","7","true","0","0","0"
"test46","ok","15.63","2026-06-01 22:54:06","","11363","11246","117","7","7","7","7","true","0","0","0"
"test47","ok","15.05","2026-06-01 22:54:21","","10525","10413","112","7","7","7","7","true","0","0","0"
"test48","ok","17.33","2026-06-01 22:54:38","","11804","11668","136","8","8","8","8","true","0","0","0"
"test49","ok","14.42","2026-06-01 22:54:53","","11326","11224","102","7","7","7","7","true","0","0","0"
"test50","ok","17.76","2026-06-01 22:55:10","","10098","9979","119","7","7","7","7","true","0","0","0"
"test51","ok","16.28","2026-06-01 22:55:27","","9438","9305","133","7","7","7","7","true","0","0","0"
"test52","ok","16.79","2026-06-01 22:55:43","","9244","9142","102","7","7","7","7","true","0","0","0"
"test53","ok","20.59","2026-06-01 22:56:04","","10262","10136","126","7","7","7","7","true","0","0","0"
"test54","ok","18.24","2026-06-01 22:56:22","","11744","11600","144","7","7","7","7","true","0","0","0"
"test55","ok","18.58","2026-06-01 22:56:41","","10666","10554","112","7","7","7","7","true","0","0","0"
"test56","ok","15.14","2026-06-01 22:56:56","","8926","8831","95","6","6","6","6","true","0","0","0"
"test57","ok","19.61","2026-06-01 22:57:16","","8327","8222","105","6","6","6","6","true","0","0","0"
"test58","ok","16.35","2026-06-01 22:57:32","","8601","8496","105","6","6","6","6","true","0","0","0"
"test59","ok","25.92","2026-06-01 22:57:58","","11340","11223","117","7","7","7","7","true","0","0","0"
"test60","ok","15.38","2026-06-01 22:58:13","","10386","10267","119","7","7","7","7","true","0","0","0"
"test61","ok","15.65","2026-06-01 22:58:29","","10312","10096","216","7","7","7","7","true","0","0","0"
