"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","exit 1","0.84","2026-06-03 00:36:38","PROCESS_EXIT","0","0","0","3","0","0","0","false","0","0","0"
"test02","exit 1","0.4","2026-06-03 00:36:38","PROCESS_EXIT","0","0","0","4","0","0","0","false","0","0","0"
"test03","exit 1","0.42","2026-06-03 00:36:38","PROCESS_EXIT","0","0","0","4","0","0","0","false","0","0","0"
"test04","exit 1","0.42","2026-06-03 00:36:39","PROCESS_EXIT","0","0","0","4","0","0","0","false","0","0","0"
"test05","exit 1","0.4","2026-06-03 00:36:39","PROCESS_EXIT","0","0","0","4","0","0","0","false","0","0","0"
"test06","exit 1","0.39","2026-06-03 00:36:40","PROCESS_EXIT","0","0","0","5","0","0","0","false","0","0","0"
"test07","exit 1","0.41","2026-06-03 00:36:40","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test08","exit 1","0.41","2026-06-03 00:36:40","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test09","exit 1","0.42","2026-06-03 00:36:41","PROCESS_EXIT","0","0","0","8","0","0","0","false","0","0","0"
"test10","exit 1","0.41","2026-06-03 00:36:41","PROCESS_EXIT","0","0","0","9","0","0","0","false","0","0","0"
"test11","exit 1","0.41","2026-06-03 00:36:42","PROCESS_EXIT","0","0","0","10","0","0","0","false","0","0","0"
"test12","exit 1","0.41","2026-06-03 00:36:43","PROCESS_EXIT","0","0","0","11","0","0","0","false","0","0","0"
"test13","exit 1","0.39","2026-06-03 00:36:43","PROCESS_EXIT","0","0","0","12","0","0","0","false","0","0","0"
"test14","exit 1","0.42","2026-06-03 00:36:44","PROCESS_EXIT","0","0","0","13","0","0","0","false","0","0","0"
"test15","exit 1","0.4","2026-06-03 00:36:44","PROCESS_EXIT","0","0","0","14","0","0","0","false","0","0","0"
"test16","exit 1","0.41","2026-06-03 00:36:44","PROCESS_EXIT","0","0","0","15","0","0","0","false","0","0","0"
"test17","exit 1","0.41","2026-06-03 00:36:45","PROCESS_EXIT","0","0","0","16","0","0","0","false","0","0","0"
"test18","exit 1","0.4","2026-06-03 00:36:45","PROCESS_EXIT","0","0","0","17","0","0","0","false","0","0","0"
"test19","exit 1","0.4","2026-06-03 00:36:46","PROCESS_EXIT","0","0","0","18","0","0","0","false","0","0","0"
"test20","exit 1","0.41","2026-06-03 00:36:46","PROCESS_EXIT","0","0","0","19","0","0","0","false","0","0","0"
"test21","exit 1","0.39","2026-06-03 00:36:47","PROCESS_EXIT","0","0","0","5","0","0","0","false","0","0","0"
"test22","exit 1","0.39","2026-06-03 00:36:47","PROCESS_EXIT","0","0","0","6","0","0","0","false","0","0","0"
"test23","exit 1","0.4","2026-06-03 00:36:47","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
"test24","exit 1","0.39","2026-06-03 00:36:48","PROCESS_EXIT","0","0","0","8","0","0","0","false","0","0","0"
"test25","exit 1","0.4","2026-06-03 00:36:48","PROCESS_EXIT","0","0","0","9","0","0","0","false","0","0","0"
"test26","exit 1","0.41","2026-06-03 00:36:49","PROCESS_EXIT","0","0","0","10","0","0","0","false","0","0","0"
"test27","exit 1","0.41","2026-06-03 00:36:49","PROCESS_EXIT","0","0","0","11","0","0","0","false","0","0","0"
"test28","exit 1","0.39","2026-06-03 00:36:49","PROCESS_EXIT","0","0","0","10","0","0","0","false","0","0","0"
"test29","exit 1","0.4","2026-06-03 00:36:50","PROCESS_EXIT","0","0","0","11","0","0","0","false","0","0","0"
"test30","exit 1","0.41","2026-06-03 00:36:50","PROCESS_EXIT","0","0","0","11","0","0","0","false","0","0","0"
"test31","exit 1","0.41","2026-06-03 00:36:51","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test32","exit 1","0.42","2026-06-03 00:36:51","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test33","exit 1","0.41","2026-06-03 00:36:52","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test34","exit 1","0.41","2026-06-03 00:36:52","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test35","exit 1","0.4","2026-06-03 00:36:53","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test36","exit 1","0.4","2026-06-03 00:36:53","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test37","exit 1","0.41","2026-06-03 00:36:53","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test38","exit 1","0.39","2026-06-03 00:36:54","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test39","exit 1","0.39","2026-06-03 00:36:54","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test40","exit 1","0.4","2026-06-03 00:36:55","PROCESS_EXIT","0","0","0","20","0","0","0","false","0","0","0"
"test41","exit 1","0.4","2026-06-03 00:36:55","PROCESS_EXIT","0","0","0","7","0","0","0","false","0","0","0"
