"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","5.89","2026-06-03 11:42:43","","323","284","39","3","3","3","3","true","0","0","0"
"test02","ok","7.85","2026-06-03 11:42:51","","739","682","57","4","4","4","4","true","0","0","0"
"test03","ok","5.68","2026-06-03 11:42:56","","701","643","58","4","4","4","4","true","0","0","0"
"test04","ok","5.74","2026-06-03 11:43:02","","827","769","58","4","4","4","4","true","0","0","0"
"test05","ok","6.21","2026-06-03 11:43:08","","920","829","91","4","4","4","4","true","0","0","0"
"test06","ok","7.45","2026-06-03 11:43:16","","1432","1344","88","5","5","5","5","true","0","0","0"
"test07","ok","11.09","2026-06-03 11:43:27","","2630","2288","342","6","6","6","6","true","0","0","0"
"test08","ok","11.75","2026-06-03 11:43:39","","3778","3435","343","7","7","7","7","true","0","0","0"
"test09","ok","12.07","2026-06-03 11:43:51","","3407","3190","217","8","8","8","8","true","0","0","0"
"test10","ok","14.76","2026-06-03 11:44:06","","5101","4804","297","9","9","9","9","true","0","0","0"
"test11","ok","15.11","2026-06-03 11:44:31","","5078","4838","240","10","10","10","10","true","0","0","0"
"test12","ok","31.94","2026-06-03 11:45:03","","8831","8402","429","11","11","11","11","true","0","0","0"
"test13","ok","16.38","2026-06-03 11:45:19","","5378","5121","257","12","12","12","12","true","0","0","0"
"test14","ok","22.49","2026-06-03 11:45:42","","10825","10467","358","13","13","13","13","true","0","0","0"
"test15","ok","19.33","2026-06-03 11:46:01","","8093","7802","291","14","14","14","14","true","0","0","0"
"test16","ok","22.33","2026-06-03 11:46:23","","7745","7430","315","15","15","15","15","true","0","0","0"
"test17","ok","22.08","2026-06-03 11:46:45","","9859","9498","361","16","16","16","16","true","0","0","0"
"test18","ok","23.34","2026-06-03 11:47:09","","12130","11760","370","17","17","17","17","true","0","0","0"
"test19","ok","25.71","2026-06-03 11:47:34","","13352","12933","419","18","18","18","18","true","0","0","0"
"test20","ok","27.51","2026-06-03 11:48:02","","14154","13734","420","19","19","19","19","true","0","0","0"
"test21","ok","7.93","2026-06-03 11:48:10","","1300","1221","79","5","5","5","5","true","0","0","0"
"test22","ok","11.56","2026-06-03 11:48:21","","1859","1768","91","6","6","6","6","true","0","0","0"
"test23","ok","11.09","2026-06-03 11:48:33","","2341","2237","104","7","7","7","7","true","0","0","0"
"test24","ok","32.34","2026-06-03 11:49:05","","3070","2939","131","8","8","8","8","true","0","0","0"
"test25","ok","12.68","2026-06-03 11:49:18","","3444","3296","148","9","9","9","9","true","0","0","0"
"test26","ok","16.06","2026-06-03 11:49:34","","4408","4251","157","10","10","10","10","true","0","0","0"
"test27","ok","25.56","2026-06-03 11:49:59","","4911","4740","171","11","11","11","11","true","0","0","0"
"test28","ok","28.71","2026-06-03 11:50:28","","4028","3872","156","10","10","10","10","true","0","0","0"
"test29","ok","18.12","2026-06-03 11:50:46","","4517","4348","169","11","11","11","11","true","0","0","0"
"test30","ok","16.4","2026-06-03 11:51:03","","4496","4327","169","11","11","11","11","true","0","0","0"
"test31","ok","29.26","2026-06-03 11:51:32","","16335","15862","473","20","20","20","20","true","0","0","0"
"test32","ok","31.7","2026-06-03 11:52:04","","13999","13606","393","20","20","20","20","true","0","0","0"
"test33","ok","52.09","2026-06-03 11:52:56","","10910","10577","333","20","20","20","20","true","0","0","0"
"test34","ok","43.97","2026-06-03 11:53:40","","11798","11426","372","20","20","20","20","true","0","0","0"
"test35","ok","43.62","2026-06-03 11:54:23","","13339","12993","346","20","20","20","20","true","0","0","0"
"test36","ok","32.37","2026-06-03 11:54:56","","12877","12467","410","20","20","20","20","true","0","0","0"
"test37","ok","58.1","2026-06-03 11:55:54","","10547","10200","347","20","20","20","20","true","0","0","0"
"test38","ok","45.6","2026-06-03 11:56:40","","11239","10913","326","20","20","20","20","true","0","0","0"
"test39","ok","154.33","2026-06-03 11:59:14","","18305","13906","4399","20","20","20","20","true","0","0","0"
"test40","ok","39.21","2026-06-03 11:59:53","","11895","11539","356","20","20","20","20","true","0","0","0"
"test41","ok","11.79","2026-06-03 12:00:05","","2697","2570","127","7","7","7","7","true","0","0","0"
"test42","ok","12.34","2026-06-03 12:00:17","","2707","2550","157","7","7","7","7","true","0","0","0"
"test43","ok","11.2","2026-06-03 12:00:28","","2689","2540","149","7","7","7","7","true","0","0","0"
"test44","ok","10.51","2026-06-03 12:00:39","","2280","2181","99","7","7","7","7","true","0","0","0"
"test45","ok","10.72","2026-06-03 12:00:50","","2859","2751","108","7","7","7","7","true","0","0","0"
"test46","ok","10","2026-06-03 12:01:00","","2141","2033","108","7","7","7","7","true","0","0","0"
"test47","ok","10","2026-06-03 12:01:10","","2452","2341","111","7","7","7","7","true","0","0","0"
"test48","ok","11.01","2026-06-03 12:01:21","","2511","2375","136","8","8","8","8","true","0","0","0"
