"Case","Status","Seconds","LastRun","FailureType","Tokens","PromptTokens","CompletionTokens","RequestCount","ResponseCount","EndCount","LastResponseId","Complete","UnknownCount","FailCount","InternalErrorCount"
"test01","ok","6.58","2026-06-04 22:13:00","","323","284","39","3","3","3","3","true","0","0","0"
"test02","ok","7.09","2026-06-04 22:13:07","","674","621","53","4","4","4","4","true","0","0","0"
"test03","ok","6.54","2026-06-04 22:13:14","","701","643","58","4","4","4","4","true","0","0","0"
"test04","ok","5.46","2026-06-04 22:13:19","","827","769","58","4","4","4","4","true","0","0","0"
"test05","ok","7.05","2026-06-04 22:13:26","","886","827","59","4","4","4","4","true","0","0","0"
"test06","ok","6.74","2026-06-04 22:13:33","","1377","1283","94","5","5","5","5","true","0","0","0"
"test07","ok","9.83","2026-06-04 22:13:43","","2529","2184","345","6","6","6","6","true","0","0","0"
"test08","ok","13.11","2026-06-04 22:13:56","","3650","3293","357","7","7","7","7","true","0","0","0"
"test09","ok","12.32","2026-06-04 22:14:08","","3301","3088","213","8","8","8","8","true","0","0","0"
"test10","ok","14.68","2026-06-04 22:14:23","","4716","4466","250","9","9","9","9","true","0","0","0"
"test11","ok","16.05","2026-06-04 22:14:48","","4818","4578","240","10","10","10","10","true","0","0","0"
"test12","ok","38.67","2026-06-04 22:15:27","","7970","7541","429","11","11","11","11","true","0","0","0"
"test13","ok","33.99","2026-06-04 22:16:01","","5041","4775","266","12","12","12","12","true","0","0","0"
"test14","ok","36.27","2026-06-04 22:16:37","","9845","9488","357","13","13","13","13","true","0","0","0"
"test15","ok","31.57","2026-06-04 22:17:09","","7295","7010","285","14","14","14","14","true","0","0","0"
"test16","ok","37.64","2026-06-04 22:17:46","","7112","6807","305","15","15","15","15","true","0","0","0"
"test17","ok","31.08","2026-06-04 22:18:17","","9061","8677","384","16","16","16","16","true","0","0","0"
"test18","ok","23.2","2026-06-04 22:18:41","","11154","10754","400","17","17","17","17","true","0","0","0"
"test19","ok","24.22","2026-06-04 22:19:05","","11334","10929","405","18","18","18","18","true","0","0","0"
"test20","ok","26.42","2026-06-04 22:19:31","","13501","13020","481","19","19","19","19","true","0","0","0"
